Position,CatBoost,ElasticNet,GradientBoosting,KNN,RandomForest
QB,9.145062480578295,8.290338901545189,8.604936171477778,8.572341484729625,8.332026516045977
RB,7.278612061341022,7.058872928489006,7.2662037581913665,7.34475598715696,7.085857600438779
TE,5.96832431215916,5.717549700410224,5.615154869529645,5.795651272310778,5.582779504214599
WR,7.361005727142889,7.070994969650446,7.183391569372572,7.520533257689635,7.090216706811455
